stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,stop_url,stop_code,wheelchair_boarding,location_type,parent_station
148,Chateaubriand,44.900673,-0.732621,,33449,,CHA53A,1,0,BCHABRI
149,Pasteur,44.845738,-0.598653,,33063,,PAST9R,1,0,BPASTEU
150,Gare d'Orléans,44.841588,-0.562512,,33063,,GAR91R,1,0,BGAREOR
151,Lycée Sud Médoc,44.903403,-0.711953,,33449,,LSM55,0,0,BLSMSM
152,Rond-Point,44.805477,-0.615595,,33318,,RDP84R,1,0,BRDPOIN
154,Rubens,44.852191,-0.513494,,33119,,RUB05R,1,0,BRUBEN
155,Parc Industriel,44.780151,-0.648334,,33318,,IND80A,1,0,BPINDUS
157,Clemenceau,44.864318,-0.620679,,33063,,CLE54R,1,0,BCLEM54
159,Mendès France,44.839827,-0.638683,,33281,,MFR50R,0,0,BMEFRA
162,Rostand,44.840967,-0.642659,,33281,,ROS50A,1,0,BROSTA
163,Versant,44.832954,-0.513924,,33167,,VER06A,1,0,BVERSA
164,Port Lopès,45.025498,-0.575834,,33004,,PLO92R,0,0,BPLOPES
167,Europarc,44.781011,-0.655603,,33318,,EUR44R,1,0,BEUROPA
168,Boulevard Trarieux,44.841614,-0.546223,,33063,,TRA05A,1,0,BTRARI
169,Villa,44.957413,-0.605153,,33312,,VIL58R,1,0,BVILLA
174,Route de Canéjan,44.78048,-0.614948,,33192,,RCA43R,0,0,BRCANE
176,Rue de Macau,44.954244,-0.606726,,33312,,RMA58A,1,0,BRMACAU
177,Côte de Monrepos,44.844877,-0.521308,,33167,,MON05R,1,0,BMONRE
179,Laffargue,44.833229,-0.529102,,33167,,LAF08R,1,0,BLAFA8
180,France-Les Castors,44.794151,-0.670609,,33318,,FRA46A,1,0,BFRANCE
181,Puyo,44.898261,-0.746449,,33449,,PUY53R,1,0,BPUYO
184,Les Chênes,44.778535,-0.697353,,33318,,CHE46A,0,0,BCHENE2
185,Tillet,44.821568,-0.572411,,33063,,TIL20R,1,0,BTILLE
186,Hortense,44.85012,-0.560633,,33063,,HOR03A,0,0,BHORTE
187,Réservoir Lavardens,44.818713,-0.601885,,33318,,EVA83A,1,0,BEVA83
189,Victor Hugo,44.85063,-0.533135,,33119,,VHU8R,1,0,BVHUG08
190,Rue du Stand,44.819721,-0.612156,,33318,,STA47R,0,0,BRSTAN
191,Pont de Bouliac,44.821067,-0.513345,,33065,,PBO07A,1,0,BPBOULI
194,Seguineau,44.835017,-0.609897,,33063,,SEG13A,1,0,BSEGUI
195,Gabarreyre,44.91469,-0.649085,,33056,,GAB37R,0,0,BGABARR
196,Gabarreyre,44.913654,-0.649056,,33056,,GAB37A,1,0,BGABARR
198,Montesquieu,44.9082,-0.638947,,33056,,MQU56A,1,0,BMQUIEU
199,Livran,44.829744,-0.589927,,33063,,LIV48A,0,0,BLIVRAN
201,Pont Saint-Jean,44.834477,-0.55156,,33063,,PSJ08R,1,0,BPSJEAN
204,Rue des Ecus,44.870011,-0.597789,,33069,,ECU57R,1,0,BECUS
206,Germignan,44.907532,-0.696816,,33519,,GER37A,1,0,BGERMI
208,Leybardie,44.861257,-0.562683,,33063,,LEY09A,1,0,BLEYBAR
209,Polyclinique Bordeaux Nord,44.864953,-0.578037,,33063,,BERT9A,1,0,BBERTHE
211,Turenne,44.879883,-0.679325,,33200,,TUR52A,1,0,BTUREN
212,Lajaunie,44.857182,-0.547523,,33063,,LAJ03R,1,0,BLAJAU
213,Les Escarrets,44.900741,-0.722024,,33449,,ESC82A,0,0,BESCAR
214,Verdun,44.860548,-0.612186,,33069,,VER54R,1,0,BVERDUN
217,Village de Villepreux,44.913155,-0.738044,,33376,,VVI53R,1,0,BVVILEP
218,Lestonnat,44.85241,-0.619644,,33063,,LES51A,1,0,BLESTO
219,Hopital Haut Leveque,44.787128,-0.654875,,33318,,HLE24A,1,0,BHLEVQ
222,Lucassot,44.824775,-0.684275,,33281,,LUC49R,1,0,BLUCASS
225,Soors,44.772025,-0.564353,,33550,,SOO20A,1,0,BSOORS
226,Grand Veneur,44.869899,-0.497823,,33013,,GVE67A,0,0,BGVENEU
227,Farvarque,44.804044,-0.571967,,33550,,FAV20A,1,0,BFAVAR
228,Les Plateaux,44.840751,-0.507888,,33167,,PLA06A,1,0,BPLATEA
231,Bagatelle,44.809558,-0.573989,,33522,,BAG20A,0,0,BBAGAT
235,Eysines Centre,44.883786,-0.647924,,33162,,DUM52R,1,0,BDUMON
236,Parc de Majolan,44.899399,-0.639898,,33056,,PMA56A,1,0,BPMAJOL
238,Pagneau,44.814136,-0.700076,,33281,,PGN75R,0,0,BPAGNE
239,Collège Lapierre,44.874026,-0.524354,,33249,,LAP38R,1,0,BCLAP29
240,Durcy,44.799494,-0.544134,,33039,,DUR23A,0,0,BDURCY
242,Domion,44.855861,-0.626,,33063,,DOM51A,0,0,BDOMIO
243,Turenne,44.879992,-0.679585,,33200,,TUR52R,1,0,BTUREN
244,Quai Numa Sensine,44.875157,-0.53582,,33249,,SEN03A,1,0,BNUMA
246,Domion,44.855777,-0.626096,,33063,,DOM51R,1,0,BDOMIO
247,Lacone,45.000691,-0.500011,,33004,,LAC92A,0,0,BLACONE
250,Gelès,44.889676,-0.74282,,33449,,GEL71A,0,0,BGELES
252,Clavé,44.790797,-0.65648,,33318,,AHL44A,1,0,BHLEVQU
254,Lespiault,44.82659,-0.591309,,33063,,LESP9R,1,0,BLESPIA
258,Montaigne,44.817838,-0.632573,,33281,,MON35R,0,0,BMTAIGN
259,Jacquet,44.824242,-0.61061,,33063,,JAC48R,1,0,BJACQET
260,Martouret,44.836492,-0.511764,,33167,,MAR06R,0,0,BMARTO
261,Ateliers Municipaux,44.880889,-0.531846,,33249,,ATE03R,1,0,BATELI
262,Docteur Rocaz,44.823164,-0.610782,,33063,,ROC48A,0,0,BROCAZ
266,Brignon,44.775439,-0.575033,,33550,,BRI21R,1,0,BBRIGN
267,Mirail,44.861405,-0.490831,,33013,,MIR64R,1,0,BMIRAIL
268,Cornier,44.843202,-0.51302,,33167,,COR06A,1,0,BCORNI
271,Rigal,44.868332,-0.580597,,33069,,RIG76A,1,0,BRIGAL
273,La Landotte,44.912599,-0.677755,,33519,,LAN55A,0,0,BLANDOT
274,Petit Peyronnet,44.931114,-0.546049,,33434,,PTP91R,0,0,BPTPEYR
276,Béraldi,44.831824,-0.519996,,33167,,BER06R,1,0,BBERAL
279,Manège,44.83912,-0.587626,,33063,,MAN13R,1,0,BMANEG
281,Fauré,44.8166,-0.61859,,33318,,FAU47R,0,0,BFAUR47
283,Tartifume,44.791584,-0.709287,,33318,,TAR47A,1,0,BTARTIF
284,Pérès,44.85982,-0.608527,,33063,,PER54R,1,0,BPERES
285,Les Iris,44.758827,-0.58292,,33550,,CAR21A,1,0,BCARN21
286,Docteur Bert,44.856289,-0.628904,,33063,,BER51R,1,0,BBERT
288,Vergne-Stade,44.89562,-0.562178,,33063,,VER31R,1,0,BVERGN
290,Durandeau,44.957873,-0.512835,,33003,,DRD93A,0,0,BDURDEA
292,Etangs,44.831708,-0.537251,,33167,,ETA06R,1,0,BETANG
293,Radio,44.78529,-0.68261,,33318,,RAD46R,1,0,BRADIO
294,Le Dôme,44.792365,-0.59145,,33522,,THS41R,1,0,BTHOUAS
296,Pagneau,44.814128,-0.700317,,33281,,PGN75A,1,0,BPAGNE
297,Lewis Brown,44.863246,-0.561061,,33063,,LBRO9R,1,0,BLBROW
299,Place Mondésir,44.838547,-0.616926,,33063,,MON50A,1,0,BMONDES
300,Hôpital Pellegrin (Grand Maurian),44.83102,-0.605068,,33063,,GMA12A,1,0,BGMAURI
303,Rue de la Paix,44.850897,-0.52275,,33119,,RPA62A,0,0,BRPAIX2
305,Delacroix,45.00991,-0.530814,,33004,,DEL91A,0,0,BDELACR
309,Mozart,44.812219,-0.61613,,33318,,MOZ45A,1,0,BMOZ45
310,Berthelot,44.8562,-0.571092,,33063,,BER01A,1,0,BBERT01
312,La Morandière (av de Magudas),44.858188,-0.678536,,33200,,MOR82A,1,0,BMORAND
315,Place de l'Eglise,44.948593,-0.605601,,33312,,EGL58A,1,0,BEGLI58
316,Alphonse Dupeux,44.829233,-0.58707,,33063,,FSO47R,0,0,BFSOURD
317,Collège L. Lenoir,44.84055,-0.552426,,33063,,LEN05A,1,0,BLENOI
319,Capucins,44.829726,-0.567598,,33063,,CAP16A,1,0,BCAPUC
320,Serpent,44.791487,-0.633325,,33318,,SER44A,1,0,BSERPE
322,Privat,44.824528,-0.59932,,33063,,PRI47A,1,0,BPRIVA
325,Le Haillan Rostand,44.858476,-0.669013,,33200,,EC982A,1,0,BECHA9
326,AFPA Pessac,44.790107,-0.649803,,33318,,AFP84R,1,0,BAFPA
327,Les Jalles,44.894979,-0.638901,,33162,,JAL56R,1,0,BJALLES
328,Mermoz,44.865245,-0.665476,,33200,,MER53R,1,0,BMERM03
330,Tournesol,44.820192,-0.69579,,33281,,TES49R,1,0,BTESOL
331,Le B.E.C,44.793145,-0.617345,,33318,,BEC43A,1,0,BLEBEC
332,Berlioz,44.838245,-0.509328,,33167,,BOZ06R,0,0,BBERLI
334,Glen Ellyn,44.869632,-0.605572,,33069,,LES56A,1,0,BLESECU
337,Chanzy,44.865799,-0.59065,,33069,,BLA27R,1,0,BBLANQU
339,Z.I. de Cestas,44.762289,-0.728152,,33122,,ZIC46R,0,0,BZICEST
341,Stade Municipal,44.916309,-0.68495,,33519,,STA55R,1,0,BSTAD55
342,Verdun,44.860588,-0.612062,,33063,,VER54A,1,0,BVERDUN
345,Ste Christine,44.880668,-0.685563,,33200,,SCR53A,0,0,BSCRIST
346,Météo France,44.831684,-0.693886,,33281,,MET73R,0,0,BMETEO
347,Vialle,44.817532,-0.50659,,33065,,VIA07A,0,0,BVIALL
349,Truffaut,44.856205,-0.648248,,33281,,TRU51A,0,0,BTRUFF
353,Le Poujeau,44.808872,-0.62893,,33318,,POU47R,1,0,BLEPOUJ
354,Chevalier,44.842159,-0.593685,,33063,,CHE16R,0,0,BCHEVA
355,Terre Rouge,44.913846,-0.686627,,33519,,TRO55R,0,0,BTROUGE
356,Mignonne,44.775324,-0.59584,,33192,,MIG41A,0,0,BMIGNO
358,Lamartine,44.904048,-0.513192,,33032,,LAM90A,0,0,BLAMA90
361,Franklin,44.798912,-0.58659,,33522,,FRA34R,1,0,BFRANKL
363,Chardons Bleus,44.835622,-0.63964,,33281,,CBL72R,1,0,BCBLEUS
364,Périnot,44.851178,-0.630588,,33063,,PER16R,1,0,BPERIN
366,Hippodrome,44.874289,-0.628053,,33162,,SUL36R,1,0,BSULKY
367,Fragonard,44.857137,-0.633026,,33063,,FRA51R,1,0,BFRAGO
368,Plein Ciel,44.849843,-0.644097,,33281,,PCI36A,1,0,BPCIEL
369,Léon Blum,44.86819,-0.603616,,33069,,LEB56R,1,0,BLEBLUM
370,Villenave Centre (Pont de la Maye),44.782189,-0.566098,,33550,,MAY20A,1,0,BPMAYE
371,Peixotto,44.806531,-0.591786,,33522,,PXO21R,1,0,BPXOTTO
372,Tilleuls,44.863385,-0.657636,,33162,,TIL52R,0,0,BTILLEU
373,Lou Licot,44.757503,-0.736158,,33122,,LIC46R,0,0,BLOULI
374,Brossolette,44.834303,-0.622125,,33281,,LAG12A,1,0,BLAGLA
375,Bleuets,44.856711,-0.637231,,33063,,BLE51A,1,0,BBLEUE
376,Ruet,44.870454,-0.675018,,33200,,RUE52R,0,0,BRUET
378,Les Aubiers,44.873991,-0.575584,,33063,,BOU31A,1,0,BBOUTA
379,Vergne,44.822994,-0.481694,,33065,,VER07A,1,0,BVERGNE
380,Abel Gance,44.878618,-0.500268,,33249,,TAB66R,1,0,BTABERN
381,Goujon,44.871242,-0.707962,,33449,,GOU82R,0,0,BGOUJO
382,Parc Bordelais,44.854718,-0.599393,,33069,,LEC54A,0,0,BGLECLE
383,Béchade,45.023086,-0.545294,,33004,,BHA92R,0,0,BBECH92
385,Léon Blum,44.868342,-0.603664,,33069,,LEB56A,1,0,BLEBLUM
386,Vieille Cure,44.853652,-0.527079,,33119,,VCU8R,0,0,BVCURE
387,Quai de Brazza,44.855785,-0.550045,,33063,,BRA03R,1,0,BBRAZZ
388,Chopin,44.757686,-0.572488,,33550,,CHO21A,0,0,BCHOPIN
390,Primevères,44.766079,-0.638034,,33192,,LUC43A,1,0,BPLUC
392,Rue Richelieu,44.845968,-0.61819,,33063,,RIC16A,1,0,BRICHE
394,Donnet,44.822133,-0.562962,,33063,,DON09R,0,0,BDONNET
396,Avenue du Coteau (vers Pl Vettiner),44.814058,-0.5016,,33065,,COT07R,0,0,BCOTEA
398,Jude,44.86638,-0.637541,,33162,,JUD54R,0,0,BJUDE
399,Simone de Beauvoir,44.865476,-0.635163,,33162,,SBE54A,1,0,BSBEAUV
400,Hôpital Pellegrin (Grand Maurian),44.830794,-0.604243,,33063,,GMA12R,1,0,BGMAURI
401,Chevreuils,44.873865,-0.492671,,33013,,CHE67A,0,0,BCHEVRE
402,St Paulin,44.805319,-0.558933,,33039,,PAU22R,1,0,BSPAUL
403,Jules Ferry,44.84443,-0.531402,,33119,,FER08A,1,0,BFERRY
404,Lalanne,44.768881,-0.563749,,33550,,LAL20R,1,0,BLALAN
406,Pasteur,44.901212,-0.512824,,33032,,PAS90A,0,0,BPAST90
407,Côte de Caumont,44.843966,-0.524747,,33167,,CAUM5A,1,0,BCAUMO
410,Edison,44.776508,-0.653324,,33318,,EDI44A,0,0,BEDISO
411,Berlincan,44.882591,-0.688453,,33449,,BER53A,1,0,BBERLIN
412,Kergomard,44.823556,-0.572537,,33063,,KER20R,1,0,BKERGO
417,Clemenceau,44.875851,-0.676994,,33200,,CLE52A,1,0,BCLEM52
418,Glen Ellyn,44.869535,-0.605515,,33069,,LES56R,1,0,BLESECU
419,Edison,44.776287,-0.653727,,33318,,EDI44R,0,0,BEDISO
421,Brun,44.817291,-0.572303,,33063,,BRU22A,1,0,BBRUN
422,Mendès France,44.843288,-0.511176,,33167,,MFR06A,1,0,BMFRAN
423,Esplanade F. Mitterrand,44.874179,-0.515542,,33249,,EFM32R,1,0,BEFMITT
424,Anatole France,44.846141,-0.53569,,33119,,AFR05A,1,0,BAFRAN
425,Curie,44.806803,-0.629632,,33318,,CUR24R,0,0,BCURIE
427,Satie,44.842243,-0.509438,,33167,,SAT06A,1,0,BSATIE
428,Strasbourg,44.828548,-0.583734,,33063,,STR45A,0,0,BSTRAS
430,Le Marquis,45.000467,-0.553961,,33004,,MAR91R,0,0,BMARQUI
431,Tarrey,44.950904,-0.490898,,33003,,TAR93R,0,0,BTARREY
433,Frères Robinson,44.849794,-0.656523,,33281,,PCA72R,1,0,BPCAPEY
440,Chanzy,44.866148,-0.590444,,33069,,BLA27A,0,0,BBLANQU
444,Satie,44.841635,-0.509008,,33167,,SAT06R,1,0,BSATIE
445,Bouthier,44.852231,-0.556903,,33063,,BOU03R,1,0,BBOUTH
446,Montaigne - Montesquieu,44.796425,-0.614038,,33318,,MMQ10A,1,0,BMMQUIE
449,Brion,44.876589,-0.603091,,33075,,BRI57A,1,0,BBRION
450,Rives d'Arcins,44.794791,-0.535053,,33039,,CCO02A,1,0,BCCO02
451,CREPS,44.798949,-0.598529,,33522,,CRE42R,1,0,BCREPS
452,Eiffel,44.786217,-0.639287,,33318,,EIF44A,1,0,BEIFFE
455,Navarre,44.829578,-0.58171,,33063,,NAV45A,0,0,BNAVAR
457,Lestonnat,44.852358,-0.619033,,33063,,LES51R,0,0,BLESTO
458,Le Chiquet,44.803891,-0.620291,,33318,,CHI84A,1,0,BCHIQUE
459,Martinique,44.854418,-0.572423,,33063,,MAR24A,0,0,BMARTIN
460,Plaisance,44.816436,-0.68678,,33281,,PLA75A,1,0,BPLAIS2
461,Cenon Marègue,44.848343,-0.507501,,33119,,MAR05A,1,0,BMAREG
463,Campana,44.81856,-0.625364,,33281,,CAM48A,1,0,BCAMPN
464,Quatre Castéra,44.806,-0.539379,,33039,,QCA02R,1,0,B4CASTE
465,Mairie d'Artigues,44.859733,-0.4924,,33013,,MAR64A,1,0,BMARTIG
467,Cassin,44.833787,-0.694316,,33281,,CAS73A,0,0,BCASS
468,Cotor Laburthe,44.781841,-0.624046,,33192,,RPE42R,0,0,BRPESS
469,Cruchet,44.893522,-0.552827,,33063,,CRU31R,0,0,BCRUCH
470,La Blanche,44.945185,-0.511075,,33003,,LAB93A,0,0,BLABLAN
471,Taffanel,44.811371,-0.573927,,33063,,TAF20A,0,0,BTAFFA
472,Maréchal Foch,44.769411,-0.544148,,33550,,MFO20A,1,0,BMFOCH
473,Techeney,44.87374,-0.486605,,33013,,TEC67A,0,0,BTECHEN
474,Z.I de Cestas,44.762615,-0.727819,,33318,,ZIC46A,0,0,BZICEST
475,Ecole de Management,44.796562,-0.602642,,33522,,EMA42A,1,0,BMANAG
476,Rue du Stand,44.819485,-0.612774,,33318,,STA47A,0,0,BRSTAN
477,MSF,44.826894,-0.678816,,33281,,FON49A,1,0,BFONT49
480,Sembat,44.815629,-0.609411,,33318,,SEM45A,0,0,BSEBAT
